delta_25_Mg_iso,delta_25_Mg_iso_2sd,delta_26_Mg_iso,delta_26_Mg_iso_2sd,Unnamed: 4,Unnamed: 5,Unnamed: 6,success,f_Mg,weathering_stage,d26Mg_silicate,F_silicate,F_carbonate,SWI
-0.109901648729265,0.040626876881205,-0.211791760370009,0.0115552009390896,,,,True,1.079412033280422,unweathered,-0.661791760370009,192795106441.23364,107204893558.76636,64.26503548041121
-0.155297138246806,0.0308902899938575,-0.279563885023966,0.0498957609410516,,,,True,0.9425863271626223,incipient,-0.7295638850239661,203079869155.69308,96920130844.30692,67.69328971856436
-0.128806347519222,0.0518507249449243,-0.250797942674134,0.0603965562080296,,,,True,0.9984053873996112,incipient,-0.700797942674134,198583429378.9826,101416570621.0174,66.19447645966086
-0.159457423487705,0.0174441797258696,-0.317202497044037,0.0201169339160888,,,,True,0.8742359325132233,incipient,-0.767202497044037,209280112412.11615,90719887587.88385,69.76003747070538
-0.121707051414182,0.0530470375585647,-0.222607393589817,0.053925995826329,,,,True,1.0563137076659301,unweathered,-0.672607393589817,194366006525.93536,105633993474.06464,64.78866884197846
-0.135741318826474,0.0376490251882973,-0.292902166358285,0.0624436568118381,,,,True,0.9177737919571728,incipient,-0.742902166358285,205234623030.56714,94765376969.43286,68.41154101018904
0.0255765293622432,0.0300762780517542,0.068961190678448,0.0597765373530247,,,,True,1.8925448055197935,unweathered,-0.381038809321552,159361448245.63806,140638551754.36194,53.12048274854602
0.0359464532720353,0.0402643426201812,0.0826339743180102,0.0457155699952241,,,,True,1.945011614729792,unweathered,-0.36736602568198984,158026847449.24088,141973152550.75912,52.675615816413625
0.0224915496652665,0.0180282282043098,0.021744063877279,0.03340606155058,,,,True,1.722002964854363,unweathered,-0.428255936122721,164148862355.83997,135851137644.16003,54.716287451946656
0.0706128775628765,0.0606991771610142,0.148301264675851,0.053218764980706,,,ÃŸ,True,2.0,unweathered,-0.30169873532414904,151916509376.94122,148083490623.05878,50.63883645898041
0.0379369424133811,0.0313753487155808,0.0730233962187263,0.0297168765556406,,,,True,1.9079832467104227,unweathered,-0.37697660378127373,158962588340.42758,141037411659.57242,52.98752944680919
-0.0394777379338953,0.0364274810259646,-0.111244095642674,0.0414648275599187,,,,True,1.3198417046858124,unweathered,-0.561244095642674,179321592508.24786,120678407491.75214,59.77386416941596
0.0442089239244594,0.0338471350371157,0.0924917545989077,0.0169677616134751,,,,True,1.9837391218179792,unweathered,-0.35750824540109233,157078414109.30127,142921585890.69873,52.359471369767085
0.0335866699219765,0.0591661542837984,0.0450349122036973,0.0633677976394801,,,,True,1.804114382217637,unweathered,-0.4049650877963027,161751945381.2755,138248054618.7245,53.91731512709184
0.0438262871899029,0.0388478161322569,0.062224864683321,0.0164387342414738,,,,True,1.8672181993444381,unweathered,-0.387775135316679,160027304907.4189,139972695092.5811,53.34243496913964
0.0257448860553853,0.0310983965706466,0.031544566221394,0.0369881333979227,,,,True,1.756088921226983,unweathered,-0.418455433778606,163131666037.34113,136868333962.65887,54.37722201244705
0.0645500219673087,0.0151805236175127,0.113430896828633,0.0286470968897378,,,,True,2.0,unweathered,-0.336569103171367,155101122921.23624,144898877078.76376,51.70037430707875
-0.192300077280776,0.0448313721029366,-0.381614327100898,0.0317680158081827,,,,True,0.7685661413406798,intermediate,-0.831614327100898,220817497153.85297,79182502846.14703,73.60583238461766
-0.0176153519381208,0.0408636554860554,-0.0180385121494355,0.0384616255957348,,,,True,1.5903004739434967,unweathered,-0.4680385121494355,168411544314.98782,131588455685.01218,56.13718143832928
0.0220973722668041,0.00345245584254451,0.0347993319007922,0.00733915770237507,,,,True,1.767557524246525,unweathered,-0.4152006680992078,162796636019.8786,137203363980.1214,54.26554533995953
